event_id,day,driver,n_hours,baseline_mae,llm_context_mae,oracle_mae,random_mean_mae,llm_minus_baseline_mae,oracle_minus_baseline_mae,random_mean_minus_baseline_mae,random_single_path_mae_mean,random_single_path_mae_p05,random_single_path_mae_p50,random_single_path_mae_p95,p_random_single_beats_llm,max_abs_llm_forecast_shift,max_abs_oracle_forecast_shift,random_declared_mw,random_width_hours
G055,2023-11-29,avail_gen_mw,24,33.172583545291694,33.172583545291694,31.42713804841847,30.629417765684654,0.0,-1.7454454968732236,-2.5431657796070404,30.62941776568461,30.62941776568462,30.62941776568462,30.62941776568462,1.0,0.0,6.9075499192883,1134.0,24
G055,2023-12-04,avail_gen_mw,24,30.059554503486282,30.059554503486282,29.99332084254389,33.0155782340593,0.0,-0.06623366094239103,2.9560237305730155,33.01557823405931,33.01557823405931,33.01557823405931,33.01557823405931,0.0,2.842170943040401e-14,10.21385081824009,1134.0,24
G074,2025-02-08,avail_gen_mw,24,6.6051525133511495,6.6051525133511495,7.085812852206104,6.758393174082076,0.0,0.4806603388549542,0.15324066073092624,6.75839317408206,6.75839317408206,6.75839317408206,6.75839317408206,0.0,3.552713678800501e-15,4.107488146061328,1172.0,24
G085,2025-08-14,avail_gen_mw,24,7.101347052790431,7.101347052790431,7.116900318368884,7.087701861415698,0.0,0.015553265578453157,-0.013645191374733301,7.0877018614157,7.0877018614157015,7.0877018614157015,7.0877018614157015,1.0,0.0,1.4574494459693597,1121.0,24
G090,2025-12-22,avail_gen_mw,24,15.853035312421506,15.853035312421506,15.910520949038181,15.892696803547855,0.0,0.057485636616675606,0.03966149112634909,15.89269680354786,15.892696803547857,15.892696803547857,15.892696803547857,0.0,0.0,2.260418120834032,1040.0,24
G090,2025-12-23,avail_gen_mw,24,36.92556955109116,36.92556955109116,37.328528542673816,37.32852854267373,0.0,0.4029589915826577,0.4029589915825724,37.32852854267382,37.328528542673816,37.328528542673816,37.328528542673816,0.0,0.0,3.2593167718095515,1040.0,24
G097,2026-04-09,avail_gen_mw,24,13.392459961339107,13.392459961339107,13.323350955747946,13.041849263885652,0.0,-0.06910900559116051,-0.35061069745345463,13.041849263885606,13.041849263885608,13.041849263885608,13.041849263885608,1.0,0.0,1.4613034934210702,1172.0,24
G097,2026-04-10,avail_gen_mw,24,35.083366396797025,35.083366396797025,35.083366396797025,34.989844873091734,0.0,0.0,-0.09352152370529154,34.98984487309174,34.98984487309175,34.98984487309175,34.98984487309175,1.0,0.0,3.552713678800501e-15,1172.0,24
T060,2023-11-29,unavail_tx_import_mw,24,33.172583545291694,33.172583545291694,32.46102813494744,33.27410692681776,0.0,-0.7115554103442534,0.10152338152606433,33.27410692681775,33.27410692681775,33.27410692681775,33.27410692681775,0.0,0.0,7.625502377731777,1200.0,24
T064,2024-05-10,unavail_tx_import_mw,24,19.997120273504184,19.997120273504184,19.989680483913794,21.989529934266812,0.0,-0.0074397895903892675,1.992409660762629,21.989529934266812,21.989529934266812,21.989529934266812,21.989529934266812,0.0,0.0,0.10532533089834395,1000.0,24
T064,2024-05-11,unavail_tx_import_mw,24,16.289306662871624,16.289306662871624,17.419823075957694,18.362506874498415,0.0,1.1305164130860703,2.0732002116267907,18.362506874498393,18.362506874498397,18.362506874498397,18.362506874498397,0.0,0.0,3.65713624973354,1000.0,24
