created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source
2025-10-07 06:09:05+00:00,750,SE_3,Planned maintenance,A03,Cancelled,2024-02-11 13:00:00+01:00,EOBf0coSvL8BZBd4S9FxbQ,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,4,2024-02-11 08:00:00+01:00,A77
2025-10-07 06:09:49+00:00,300,SE_3,Unplanned outage,A03,,2023-12-30 01:00:00+01:00,Jwk-bx3wy4DEM0WONqbvCg,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,10,2023-12-29 23:09:00+01:00,A77
2025-10-07 06:09:49+00:00,421,SE_3,Unplanned outage,A03,,2024-02-09 03:00:00+01:00,Jwk-bx3wy4DEM0WONqbvCg,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,112,MAW,PT1M,10,2023-12-30 01:00:00+01:00,A77
2025-10-07 06:12:50+00:00,730,SE_3,Unplanned outage,A03,,2024-02-11 00:00:00+01:00,sUVtFr2bHHEmNku06juZmQ,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,2,2024-02-10 20:00:00+01:00,A77
2025-10-07 06:22:56+00:00,0,SE_3,Unplanned outage,A03,,2024-02-16 15:00:00+01:00,TPb0x39RnksxAb40X_UzwA,120.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV8 Värtaverket,1,MAW,PT1M,1,2024-02-16 09:15:00+01:00,A80
2025-10-07 06:25:31+00:00,800,SE_3,Planned maintenance,A03,,2024-02-17 13:00:00+01:00,fBqfeO4sChGktNzQK9fe9g,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,4,2024-02-17 10:30:00+01:00,A77
2025-10-07 06:58:54+00:00,0,SE_3,Planned maintenance,A03,,2024-07-29 08:59:00+02:00,dlBy2QKjPVyXEgXYZmbL_g,190.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV1 Värtaverket,1,MAW,PT1M,2,2024-04-01 00:00:00+02:00,A80
2025-10-07 07:00:05+00:00,0,SE_3,Unplanned outage,A03,,2024-03-04 21:00:00+01:00,bgRWtayssUvHJrubXXn5ug,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,4,2024-03-01 00:00:00+01:00,A77
2025-10-07 07:03:07+00:00,440,SE_3,Unplanned outage,A03,,2024-03-05 23:00:00+01:00,qkh-3IonXMM8Jx-STbzuCg,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,2,2024-03-05 09:00:00+01:00,A77
2025-10-07 07:44:08+00:00,0,SE_3,Unplanned outage,A03,,2024-03-22 02:00:00+01:00,5HyBlEb1bJ-E5hjxWdMymw,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,3,2024-03-16 17:00:00+01:00,A77
2025-10-07 07:54:20+00:00,0,SE_3,Planned maintenance,A03,,2024-04-06 06:00:00+02:00,f3-b6TH2cSD2pccSlipHHg,130.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G3,1,MAW,PT1M,3,2024-03-04 08:00:00+01:00,A80
2025-10-07 08:04:17+00:00,0,SE_3,Unplanned outage,A03,,2024-03-31 07:30:00+02:00,e0Gmz1vLXK_ZHuCFJkjhVw,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G2,1,MAW,PT1M,1,2024-03-31 06:00:00+02:00,A80
2025-10-07 09:32:20+00:00,715,SE_3,Planned maintenance,A03,,2024-05-04 20:00:00+02:00,HWrspie85SIV7j8sURyRgA,1014.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,4,2024-05-04 08:00:00+02:00,A77
2025-10-07 09:35:45+00:00,0,SE_3,Planned maintenance,A03,,2024-05-07 10:30:00+02:00,fpD7o6WEHXepBIQ1PEC43w,120.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV8 Värtaverket,1,MAW,PT1M,4,2024-05-06 06:00:00+02:00,A80
2025-10-07 09:37:08+00:00,0,SE_3,Planned maintenance,A03,,2024-05-08 01:57:00+02:00,QIa6AO8hOszCshoNR7qG-g,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,10,2024-04-06 19:00:00+02:00,A80
2025-10-07 09:37:27+00:00,60,SE_3,Planned maintenance,A03,,2024-05-14 16:00:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,1,MAW,PT1M,2,2024-05-13 09:00:00+02:00,A77
2025-10-07 09:37:27+00:00,60,SE_3,Planned maintenance,A03,,2024-05-16 16:00:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,4711,MAW,PT1M,2,2024-05-16 15:30:00+02:00,A77
2025-10-07 09:37:27+00:00,60,SE_3,Planned maintenance,A03,,2024-05-23 16:00:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,14791,MAW,PT1M,2,2024-05-23 15:30:00+02:00,A77
2025-10-07 09:37:27+00:00,330,SE_3,Planned maintenance,A03,,2024-05-20 08:00:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,4741,MAW,PT1M,2,2024-05-16 16:00:00+02:00,A77
2025-10-07 09:37:27+00:00,330,SE_3,Planned maintenance,A03,,2024-05-15 09:00:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,1861,MAW,PT1M,2,2024-05-14 16:00:00+02:00,A77
2025-10-07 09:37:27+00:00,230,SE_3,Planned maintenance,A03,,2024-05-16 15:30:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,2881,MAW,PT1M,2,2024-05-15 09:00:00+02:00,A77
2025-10-07 09:37:27+00:00,330,SE_3,Planned maintenance,A03,,2024-05-23 15:30:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,10051,MAW,PT1M,2,2024-05-20 08:30:00+02:00,A77
2025-10-07 09:37:27+00:00,60,SE_3,Planned maintenance,A03,,2024-05-20 08:30:00+02:00,IDwKbcGbcX2y9rRwzTto2Q,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,10021,MAW,PT1M,2,2024-05-20 08:00:00+02:00,A77
2025-10-07 09:37:48+00:00,0,SE_3,Unplanned outage,A03,,2024-05-08 13:40:00+02:00,OoWNnwuh7EpF5z5MwWQmgA,120.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV8 Värtaverket,1,MAW,PT1M,3,2024-05-08 06:10:00+02:00,A80
2025-10-07 09:41:33+00:00,0,SE_3,Unplanned outage,A03,,2024-05-10 23:00:00+02:00,5xkHgguC6g_7HaYgIFQr7w,120.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV8 Värtaverket,1,MAW,PT1M,2,2024-05-10 21:09:00+02:00,A80
2025-10-07 09:41:56+00:00,200,SE_3,Planned maintenance,A03,,2024-04-18 12:00:00+02:00,lvVTFK8tpmGG2VeThGphDA,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,1604,MAW,PT1M,6,2024-04-07 08:43:00+02:00,A77
2025-10-07 09:41:56+00:00,0,SE_3,Planned maintenance,A03,,2024-04-07 08:43:00+02:00,lvVTFK8tpmGG2VeThGphDA,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,1,MAW,PT1M,6,2024-04-06 06:00:00+02:00,A77
2025-10-07 09:41:56+00:00,100,SE_3,Planned maintenance,A03,,2024-04-18 15:01:00+02:00,lvVTFK8tpmGG2VeThGphDA,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,17641,MAW,PT1M,6,2024-04-18 12:00:00+02:00,A77
2025-10-07 09:41:56+00:00,200,SE_3,Planned maintenance,A03,,2024-05-11 06:00:00+02:00,lvVTFK8tpmGG2VeThGphDA,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,17822,MAW,PT1M,6,2024-04-18 15:01:00+02:00,A77
2025-10-07 09:41:56+00:00,0,SE_3,Planned maintenance,A03,,2024-05-11 13:05:00+02:00,lvVTFK8tpmGG2VeThGphDA,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,50401,MAW,PT1M,6,2024-05-11 06:00:00+02:00,A77
2025-10-07 09:52:59+00:00,0,SE_3,Planned maintenance,A03,,2024-05-23 12:00:00+02:00,7TbYDC7NFrkc7u167qhFcA,1121.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,7,2024-04-21 12:00:00+02:00,A77
2025-10-07 09:54:31+00:00,800,SE_3,Planned maintenance,A03,Cancelled,2024-06-01 13:00:00+02:00,6RBsaevipNShBjFkxUQk2Q,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,2,2024-06-01 10:30:00+02:00,A77
2025-10-07 10:06:54+00:00,750,SE_3,Planned maintenance,A03,Cancelled,2024-05-30 18:30:00+02:00,zx2lBqGQYg34ZWZTv9qDvg,1014.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,2,2024-05-30 16:00:00+02:00,A77
2025-10-07 10:10:44+00:00,810,SE_3,Unplanned outage,A03,,2024-05-30 09:00:00+02:00,HKuyh-tYAmQl5bHO42SPqA,1014.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,1,2024-05-30 03:00:00+02:00,A77
2025-10-07 10:22:30+00:00,0,SE_3,Unplanned outage,A03,,2024-06-07 09:00:00+02:00,D2BjbC-n9CLRGuqSS6RvqA,260.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,,1,MAW,PT1M,1,2024-06-07 00:15:00+02:00,A77
